Song Title,Artist,Year,Album/EP/Single,Collaborating Artist(s),Spotify Link,Streams
KAWASAKI,FELIP,2025,Featured,"ONE OR EIGHT, thuy",https://open.spotify.com/track/37ifPBg9M2NzlRNHe9WUIy,
WILD TONIGHT,JOSH CULLEN,2023,Single,,https://open.spotify.com/track/4yBwaJUom5dOYp54wU6hA2,
Pakiusap Lang,JOSH CULLEN,2023,Single,,https://open.spotify.com/track/6trU06kJgdYaPqRUvz5K9e,
GET RIGHT,JOSH CULLEN,2023,Single,,https://open.spotify.com/track/7vXFVu0qtLuCSDYzXWNQoL,
Yoko Na,JOSH CULLEN,2024,Single,Al James,https://open.spotify.com/track/6SIaYQUPOJpO8XFWeTl5dC,
1999,JOSH CULLEN,2024,Lost & Found,,https://open.spotify.com/track/0PMfgKba5PLGETb02cDcMg,
See Me,JOSH CULLEN,2024,Lost & Found,,https://open.spotify.com/track/5jH6p468HtmNHdJiubGQ6t,
Silent Cries,JOSH CULLEN,2024,Lost & Found,,https://open.spotify.com/track/1x0Y2jS5oJW4Q3aU9jZBER,
Honest,JOSH CULLEN,2024,Lost & Found,,https://open.spotify.com/track/1Rl5KDAu4wrUsQZZtD2hiy,
No Control,JOSH CULLEN,2024,Lost & Found,(e)motion engine,https://open.spotify.com/track/0Rg0DIhiShdvZvF7snNZIt,
Lights Out,JOSH CULLEN,2024,Lost & Found,Mo Mitchell,https://open.spotify.com/track/2TQQX4gYeQmobxNEXwtrZ3,
Sumaya,JOSH CULLEN,2024,Lost & Found,,https://open.spotify.com/track/2qKu8tPpilCBJqxzGWcOaC,
Silent Cries (Instrumental),JOSH CULLEN,2024,Lost & Found,,https://open.spotify.com/track/5FQodaxJAZTUPjdpbDT9pa,
No Control (Instrumental),JOSH CULLEN,2024,Lost & Found,,https://open.spotify.com/track/65LG9NubWQtyImpyNXotHo,
Takbuhan,JOSH CULLEN,2024,Featured,Kael Guerrero,https://open.spotify.com/track/3RCVzaTWA7h1SR0nWQtIk1,
Re: Thinkin' About You,JOSH CULLEN,2024,Featured,H1-KEY,https://open.spotify.com/track/2R1CjdVdXz7frvQRwCdQa6,
Room,Stell,2024,Room EP,,https://open.spotify.com/track/1PLKN0HC7m5drBHg0jarZE,
Anino,Stell,2024,Room EP,,https://open.spotify.com/track/5tMJZOyBv8t49i9elHuQZF,
'Di Ko Masabi,Stell,2024,Room EP,,https://open.spotify.com/track/3JEE0hhTI6u9CEZCZWalKe,
Classic,Stell,2024,Room EP,,https://open.spotify.com/track/15bdfvbGida1Z8OVZ0YvSQ,
Room (Stripped),Stell,2024,Room EP,,https://open.spotify.com/track/6fwpkEZRQZ8Kr5Ws4q0Kyn,
Surreal,justin,2024,Single,,https://open.spotify.com/track/5TT4xi1HEPTkVTO59jY3tz,
Sunday Morning,justin,2024,Single (Cover),,https://open.spotify.com/track/3sp427yZHOXL3LPCY8wwUR,
Kaibigan,justin,2024,Single,,https://open.spotify.com/track/3rwioq6hSNjwynnK8rVPCm,
Sampung Mga Daliri,justin,2025,Single,dwta,https://open.spotify.com/track/2MHg2BVPaTgiCUDWp2jZqf,
